incidentdate,estimatedquantity,latitude,longitude
2/3/2024,7,6.0564311,6.1233767
2/8/2024,0.5,5.6366667,6.1877778
2/4/2024,10,6.8551386,5.5022103
2/9/2024,0.000004,4.2522222,8.1605556
2/3/2024,332.9,4.9861389,7.1631667
2/1/2024,0.1,5.6675008,5.1327811
3/9/2024,6,5.11375,6.5649167
2/5/2024,7,5.06271701,6.5717781
2/5/2024,0.000252,5.3625,4.3347222
2/12/2024,0.0629,70711.1,45326.6
2/16/2024,0.075,4.5466389,8.1644167
2/15/2024,3.34,5.4593056,66.7249444
2/25/2024,0.00019,4.1358333,7.9677778
3/10/2024,38,4.994261,6.668599
3/22/2024,2.9,5.1146944,6.5696389
3/8/2024,0.5,5.04331,6.5907
3/18/2024,0.4,5.1157778,6.4931667
3/26/2024,5,4.6449389,8.04635
3/26/2024,0.4,4.96037,6.58316
3/27/2024,2.5,5.1443611,6.6838611
3/21/2024,7,5.1137778,6.5648333
4/4/2024,0.00092,5.5177778,4.5013889
3/2/2024,0.0233,5.5177778,4.5013889
3/31/2024,0.00006,4.2408333,8.14
2/13/2024,150,5.0075833,7.0203611
3/7/2024,45,4.953884701,6.82132179
4/20/2024,0.00036,4.2408333,8.14
4/19/2024,1.45,4.9839622,7.1230114
4/19/2024,0.019,4.9844353,7.1294183
4/18/2024,0.013,4.9858617,7.1496061
4/17/2024,0.00164,,7.9677778
3/29/2024,1.3,4.676079,5.668139
3/9/2024,0.07,4.883064,5.641404
4/13/2024,4,5.4126111,6.5871667
4/12/2024,2,4.984835,7.1344333
3/14/2024,1258,3.116161,9.818671
4/8/2024,0.00162,4.1358333,7.9677778
4/5/2024,257.78,5.4931667,6.7554167
4/12/2024,0.162,4.9842183,7.1261383
4/24/2024,1,4.8565278,7.1458611
4/12/2024,1.3,5.10149,6.4914217
4/6/2024,0.94,5.79365,5.2467083
4/13/2024,5,5.9987619,5.4435481
2/5/2024,100,4.5433333,5.9577778
4/18/2024,15,5.7766806,5.2006083
4/16/2024,0.13449,4.405,7.8283333
4/10/2024,204.4,5.4338611,6.6918611
3/27/2024,1.2,4.4466111,6.2663889
3/22/2024,0.2,4.6288056,6.2313056
5/20/2025,17,5.9611111,5.5911111
5/12/2024,0.00057,4.3486111,5.3511111
3/26/2024,7,4.6284722,6.2156389
2/13/2024,0.07,5.3919444,6.6393333
5/3/2024,0.226,5.0871389,5.9128333
4/18/2024,51.02,5.2741667,6.4788889
3/17/2024,1.04,4.5495278,5.9365278
4/20/2024,0.5,5.4362944,5.8419583
4/14/2024,1,5.5086183,5.476455
3/20/2024,0.62,4.7385278,5.9751667
3/10/2024,0.07,4.883064,5.641404
3/9/2024,0.071,4.4648333,6.1616667
2/6/2024,30,4.5447222,5.9532222
4/12/2024,0.5,5.5512797,6.2891472
5/11/2024,0.5,5.8124611,5.2059778
5/10/2024,4,6.0354056,5.4290972
4/7/2024,5,5.4736383,5.444615
5/12/2024,0.03,5.835,6.2727778
2/26/2024,3,5.6851806,6.5185944
4/18/2024,2,5.5741589,5.7892831
3/21/2024,0.3,5.1162778,6.4924444
4/7/2024,22.5,5.0165639,6.6921758
4/8/2024,22.5,5.0165639,6.6921758
5/27/2024,20,6.0040778,5.4168731
5/27/2024,30,6.0065692,5.4178336
6/15/2024,5,6.0132231,5.4203708
6/24/2024,17.2,5.1679167,6.5895833
6/1/2024,0.5,5.0298,6.611565
4/18/2024,0.0629,4.9693886,6.7251333
6/13/2024,0.5,5.025273,6.360747
6/13/2024,11,5.667887,6.94691
5/26/2024,5,4.9559611,6.5978583
5/19/2024,868,4.78289,7.19189
5/14/2024,10,5.0052,6.31290283
5/1/2024,7525,4.8856333,5.6394778
5/4/2024,3,4.5411111,5.9559722
5/5/2024,1,4.5405556,5.9675556
5/6/2024,4,4.54625,5.9476944
5/8/2024,3,5.5203883,5.4831717
5/9/2024,0.63,4.499,6.2574167
5/10/2024,0.001,6.043345,5.71099
5/11/2024,0.017,5.1145556,6.5687222
5/11/2024,17.32,5.6347222,6.6387778
5/12/2024,1,4.5014167,6.0644722
5/13/2024,1,4.9752694,7.1048639
5/14/2024,10,4.47525,6.2584167
5/19/2024,1.5,5.4362967,5.844325
5/19/2024,0.5,5.436315,5.8437217
5/19/2024,15,5.7006111,6.4910617
5/31/2024,1,4.6534111,8.0378028
5/27/2024,0.05,4.89413,7.0233
5/29/2024,0.00906,4.1052778,7.6238889
6/28/2024,3,4.9750889,6.6635694
6/24/2024,83,4.7825428,7.1924986
6/21/2024,1,5.8413633,5.5612883
6/20/2024,3.6,5.0945556,6.5655
6/20/2024,0.00157,4.2736111,8.2316667
6/18/2024,234,4.426938,6.32795
6/17/2024,0.7,4.954995,6.786759
6/16/2024,0.0629,5.0012917,7.0217
6/14/2024,0.000004,4.1511111,8.0341667
5/25/2024,0.00094,4.2738889,8.1758333
7/1/2024,75,5.5450117,6.01811
6/15/2024,4.06,5.21225,6.5918611
5/15/2024,1,5.043348,6.59067
2/4/2024,2.2,5.681585,5.1481297
7/12/2024,0.031,4.8922222,7.1213278
7/11/2024,0.031,4.892225,7.1213278
7/10/2024,1,5.1415694,6.7440694
7/4/2024,35,4.618513,7.269267
7/2/2024,41,5.2122778,6.5918333
7/1/2024,4.5,5.1141111,6.5666944
7/1/2024,10,5.519765,5.6464733
7/1/2024,7,5.4649256,6.1265153
6/17/2024,2,4.95863,6.57995
6/16/2024,2.88,5.4417222,6.6939722
6/13/2024,49,5.4931667,6.7188889
6/11/2024,5,5.3988611,6.6280833
6/11/2024,8.6,5.3988611,6.6280833
6/10/2024,15,4.7065278,5.9686667
6/10/2024,1,4.98565,7.1484361
6/8/2024,0.11,4.7023611,5.9678889
7/4/2024,0.01132,4.3188889,8.1497222
3/15/2024,0.35,4.7415278,5.9758056
3/15/2024,1,5.025312,6.619531
7/15/2024,20,5.5625556,5.5521667
7/20/2024,5,5.56255,5.5514972
5/30/2024,2,5.4363433,5.8436567
7/15/2024,35,5.4545389,5.4005556
2/16/2024,0.005,5.5660256,5.5956836
7/17/2024,0.11253,4.5436111,8.0197222
7/17/2024,0.00296,4.1858792,7.9110508
4/5/2024,0.8,5.8086111,5.3948056
4/2/2024,20,5.5625483,5.5515608
3/31/2024,14,5.8454722,5.6946667
4/1/2024,0.5,5.5622497,5.5507892
6/4/2024,2,5.8312222,5.5234722
4/9/2024,3,5.9214722,5.5980278
5/30/2024,2,5.4364233,5.8395
3/13/2024,4,4.6446111,7.0594167
6/2/2024,40,4.6870833,7.0188889
2/25/2024,0.006,5.7161667,5.2953222
5/11/2024,0.5,5.5476669,5.76373
6/1/2024,0.5,5.4473778,5.2472767
8/2/2024,7,5.0516139,6.7027472
7/31/2024,0.3,5.0538083,6.5806222
7/17/2024,0.11253,4.5436111,8.0197222
7/17/2024,0.00296,4.1858792,7.9110508
8/6/2024,0.00002,4.1608333,8.0413889
7/25/2024,0.03145,4.5436111,8.0197222
7/4/2024,0.256,4.5100833,6.0359722
8/15/2024,0.031,6.0796156,5.6922631
8/10/2024,3,4.4745278,6.1338056
8/2/2024,5,4.4928056,6.0832222
8/5/2024,0.0631,4.4704444,6.1404444
8/18/2024,30,5.4940294,6.0900017
8/21/2024,1,5.4897778,6.09525
8/19/2024,1,5.05375,6.58058
7/28/2024,5,5.5185056,5.9858614
8/16/2024,1,5.17045,5.1644444
2/22/2024,0.4,5.5564167,6.7095
8/17/2024,35,5.4459061,6.1545004
9/11/2024,0.06226,4.1486111,7.975
9/11/2024,0.37736,4.2733333,8.1922222
9/7/2024,4,4.491,6.0865833
9/2/2024,0.00091,4.1016667,7.7902778
9/2/2024,24,4.4749722,6.1291944
9/1/2024,1.2,4.59928,7.85855
9/19/2024,1.2,4.9843611,7.1253056
9/19/2024,0.82,4.9844722,7.1624167
9/13/2024,0.13,5.4338906,6.6918692
8/30/2024,0.013,5.6940972,6.5162881
8/30/2024,4,5.686615,6.519065
8/30/2024,4,4.5371389,5.9795556
9/13/2024,1.2,5.3973333,6.6273889
9/20/2024,1.5,5.6770556,6.51575
9/20/2024,2,5.6782222,6.5162222
10/1/2024,0.06,5.5642861,6.2482967
8/21/2024,0.00472,4.1111111,7.6288889
5/25/2024,0.00094,4.2738889,8.1758333
10/7/2024,3,5.54439289,5.51605685
4/7/2024,1803,4.7817481,7.1938731
4/6/2024,12,4.9985083,7.0217056
8/23/2024,6.6,5.2607222,6.5690833
9/17/2024,30,4.5349167,5.9871667
9/14/2024,3,4.95393,6.82702
9/9/2024,6,4.4749722,6.1294722
9/9/2024,2,4.4718611,6.13825
4/26/2025,0.0126,5.8789722,5.0067222
4/9/2025,0.03,5.7280194,5.3471389
3/23/2025,10,5.5086583,5.4736111
3/17/2025,27,5.5635317,5.565
10/8/2024,28.7,5.9636806,5.8185222
10/8/2024,2.51,5.1145556,6.5687778
9/25/2024,6,4.76,5.9775833
9/22/2024,0.03,6.0438081,5.7102333
9/15/2024,1.8,4.4425433,6.3015944
9/9/2024,0.03,5.6870261,5.5221194
9/5/2024,1,5.8979722,5.6213056
8/29/2024,19,5.8203056,5.6554167
8/26/2024,13,5.5091389,5.4766944
8/23/2024,6.6,"No 12'35,7""","E006 35'29.4"""
8/23/2024,6.6,"N012'35,7""","E00 35'29.4"""
8/22/2024,22,4.8562583,7.1489806
9/30/2024,5,5.524045,5.4680317
9/16/2024,30,5.4971722,5.9199861
9/9/2024,3,5.4473075,5.2473725
8/6/2024,36,5.3488056,5.3533158
8/6/2024,0.511,4.4582222,6.1738889
8/5/2024,0.333,4.475,6.1305556
10/16/2024,0.01,5.9223056,5.3200278
10/7/2024,10,5.4335833,6.6918333
9/25/2024,20,4.5197778,6.2560556
9/5/2024,150,4.8078333,5.9643333
9/4/2024,20,4.5197222,6.2560556
9/3/2024,2,4.4990833,6.2574722
9/1/2024,0.136,4.4118056,6.2785278
11/11/2024,1,5.4560833,6.7001944
7/27/2024,2,5.1525,6.5811389
6/3/2024,0.10063,5.3511111,4.3347222
10/26/2024,6,5.8915583,5.6929611
11/14/2024,2,5.5163056,6.7128611
10/12/2024,100,5.4724722,5.4413056
7/29/2024,950,5.3209028,5.2564
5/27/2024,15,6.00912,5.4188181
8/21/2024,0.13,5.5690833,6.2607222
1/5/2025,7,5.447745,5.887925
5/7/2025,5.8,5.8204167,5.6553333
5/9/2024,3.6,5.3981944,6.6289722
5/30/2024,0.46,4.9932528,7.1074556
9/18/2024,0.016,5.5165,6.7128889
4/14/2024,2,4.96355,6.74231
10/10/2024,80,4.8025833,5.9670833
10/9/2024,10,4.8025833,5.9670833
10/4/2024,6,4.8714444,5.9502778
10/4/2024,1,4.5038611,6.0590556
10/3/2024,1,4.4714722,6.13875
10/2/2024,52,4.5733611,5.9417222
9/29/2024,21,5.13225,6.5738056
9/28/2024,6.5,5.1909722,6.5841667
9/28/2024,6.5,5.1909722,6.5841667
9/27/2024,0.755,4.4778889,6.1030278
9/25/2024,0.19,4.7617222,5.9779444
6/6/2024,0.522,4.5436111,8.0197222
10/22/2024,20,5.02565,6.35356
10/22/2024,5,4.74425,5.9763889
6/6/2024,17,4.6734444,5.9605
6/8/2024,15,4.7020556,5.9678611
6/13/2024,95,4.7834444,5.9773889
6/15/2024,0.16,4.7001389,5.9693889
7/6/2024,0.063,4.4918889,6.0849444
7/6/2024,4.7,4.4908889,6.0868333
7/18/2024,5,4.4685083,6.1509944
7/27/2024,0.314465,4.4685556,6.1501667
11/1/2024,21,4.6834722,5.9220833
8/19/2024,5,4.72675,5.9727222
3/29/2024,15,4.7532778,5.97675
3/30/2024,0.1258,4.7384167,5.9752222
3/31/2024,1,4.7475278,5.9770278
5/29/2024,8,4.7801111,5.97925
5/30/2024,1,4.78025,5.9791667
6/26/2024,0.19,4.4510556,6.2651944
4/17/2024,0.2,4.7803056,5.9791111
12/2/2024,1.5,5.9616667,5.81625
11/26/2024,0.01,5.8844167,5.7359722
5/27/2024,2,4.88638891,5.66556189
7/27/2024,3,4.8877778,6.3691667
12/16/2024,13.5,5.1898611,6.5943333
12/16/2024,1500,5.4676389,6.6425
1/14/2025,9,5.3833333,6.65275
12/6/2024,5,,
12/31/2024,0.25,5.7684722,5.2039167
12/31/2024,6,4.9872972,0.1595917
12/28/2024,190.6,5.4426389,6.6626944
12/20/2024,0.04,5.1241883,6.573225
12/21/2024,3.51,5.13236,6.573825
12/13/2024,0.3134,5.4123889,6.6083889
12/29/2024,1,5.8186944,5.6646667
12/9/2024,0.1,5.0419083,6.6272389
12/9/2024,0.03,5.0134731,6.7908939
12/1/2024,1,5.8611667,5.6919722
12/6/2024,5,,
11/27/2024,3,5.0536944,6.549
1/2/2025,25,5.434375,5.387535
1/2/2025,25,5.434375,5.387535
11/20/2024,15,5.4582611,6.1776972
11/11/2024,10,5.8915583,5.6929611
11/6/2024,6,5.6477778,6.0805556
10/14/2024,10,5.6477778,6.0805556
11/25/2024,0.031,5.8166667,5.6649444
12/26/2024,0.8,5.5801667,5.6726111
11/12/2024,0.02,5.8473333,5.6941667
7/17/2024,2,5.6235333,5.1820306
6/18/2024,1,5.78158,5.7071133
4/28/2024,3,5.8139167,5.6935278
1/16/2025,0.92887,11.344972,7.987417
1/21/2025,30,5.5086389,5.4766389
12/21/2024,15,4.6038889,6.3349167
12/20/2024,60,4.6057222,6.3568611
12/19/2024,0.12,4.4997222,6.0684444
11/23/2024,3900,4.447331,7.192478
11/25/2024,0.00013,4.2588994,8.1849964
11/24/2024,140,4.5248889,6.0107222
1/9/2025,20,5.5088056,5.4765917
2/1/2025,0.33,6.0795,5.6865556
12/21/2024,15,4.6038889,6.3349167
12/13/2024,0.07,525034,6352.5
12/9/2024,10,4.6146667,5.9505278
12/8/2024,1100,4.172964,7.228945
11/23/2024,1.4,5.13475,6.5739722
11/20/2024,10,4.46162,7.186
11/19/2024,3,5.0501111,6.5475833
11/15/2024,1.4,5.1323056,6.5738056
11/14/2024,0.3,5.45452,6.76463
11/12/2024,0.001,5.4899444,6.7541667
11/12/2024,5,4.83975,5.953
9/17/2024,0.00224,4.5438889,8.0180556
9/12/2024,0.000002,4.3744444,7.6258333
9/4/2024,0.5,4.84081921,7.11891162
9/4/2024,7,4.6989444,5.9673611
6/14/2024,5,4.48125,6.1001111
6/5/2024,6,4.6760278,5.9609722
5/17/2024,18,4.7594167,5.9774722
3/15/2024,0.005,4.9844389,7.1291389
3/15/2024,0.7,4.984835,7.1344333
8/20/2024,10,6.0092222,5.4188611
11/6/2024,1,5.6675692,5.1407394
11/6/2024,0.19,5.57388,5.3026008
8/7/2024,0.006,5.5904111,5.2395972
10/10/2024,0.00396,4.3172222,8.3016667
10/18/2024,10,4.45361,7.18124
6/18/2024,0.2,4.460979,7.186575
11/3/2024,0.01415,5.0058333,4.0055556
6/2/2024,1.2,5.6542667,6.3314722
6/5/2024,25,5.01034,5.537444
7/4/2024,2,4.6366944,6.3876667
11/11/2024,0.031,5.8976667,5.5825556
9/24/2024,2,5.61353,6.75855
6/24/2024,28,5.3833889,6.65275
5/8/2024,80,4.92792,6.43455
5/28/2024,0.7233,4.7637778,6.0838889
8/26/2024,5,4.7256667,5.9725
10/24/2024,4,4.7266944,5.9727222
3/25/2024,5.33,4.6285833,6.2225278
3/26/2024,0.13,4.8925,7.1213889
3/23/2024,0.2,4.6285,6.2153611
3/23/2024,0.19,4.7549444,5.9766111
10/15/2024,21,5.10463889,6.52072222
10/14/2024,21,N05'06'16.7',E006 31'14.6'
9/2/2024,5,4.6604444,5.9591111
8/31/2024,0.3,4.6689444,5.9604444
8/24/2024,0.314,4.7799722,5.9792778
8/21/2024,15,4.72675,5.9727778
8/21/2024,56,4.8440222,7.080665
8/19/2024,23.01,5.16775,6.5895
8/19/2024,4,5.1947222,6.5894722
8/18/2024,12,4.7266944,5.9726944
8/17/2024,0.094,4.7934167,5.9720278
8/17/2024,95,4.4568056,6.4178056
8/8/2024,11,4.93799,6.49924
8/8/2024,1,4.95545,6.78029
11/11/2024,6.22,5.0535786,6.5490067
10/24/2024,512,4.825746,6.153884
10/23/2024,154,5.04314422,6.59083951
10/22/2024,2.21,5.105,6.5223056
10/21/2024,229,4.7681,7.149794
10/15/2024,10,5.048937,6.58526
10/7/2024,175.63,76061.37,506319.85
10/3/2024,8,5.46849,6.75859
9/25/2024,0.25,4.7608056,5.97775
9/24/2024,11,4.4746944,6.1224167
9/24/2024,3,4.4695556,6.1429167
9/3/2024,0.1,4.978663,6.697096
8/29/2024,1,4.69587,7.252126
8/28/2024,10,4.6760278,5.9609722
8/28/2024,11,5.0237028,6.6224222
8/27/2024,6,4.7063889,5.9686111
8/27/2024,670,4.879173,7.042324
8/14/2024,3,4.95354986,6.83913802
8/4/2024,5.2,5.1920556,6.5920833
4/26/2025,25,5.65806,6.5168086
4/29/2025,0.1,6.0690278,5.6075556
4/24/2025,3,5.9513639,5.0533861
8/7/2024,0.03,5.8102222,5.2166667
11/22/2024,40,5.8268283,5.1781267
11/23/2024,2,5.869535,5.1515367
4/14/2025,113.8,5.49225,5.4681944
5/30/2024,3,5.9502867,5.04424
4/24/2025,10.2,5.4955556,5.9186111
11/5/2024,65,5.434805,5.8836867
1/6/2025,3,5.4558333,5.8902778
7/31/2024,0.3774,4.4908611,6.0868333
7/30/2024,0.44025,4.4862222,6.0955
7/29/2024,0.25157,4.5149167,6.0281111
7/25/2024,7.3,4.9738111,6.6602889
7/17/2024,0.4,4.791817971,7.17651985
7/15/2024,0.26,4.7933889,5.9720556
7/12/2024,80,4.4509722,6.2650278
7/11/2024,27,4.655,5.9580833
7/10/2024,1,4.93155421,6.9680062
7/10/2024,0.198,4.6364444,5.9545833
7/9/2024,20,4.6542222,5.9578333
6/28/2024,0.1,5.2598,6.5273
6/27/2024,7,4.5088889,6.0406111
6/26/2024,503.1447,6.479745,4.0009561
6/21/2024,0.066,4.4871944,6.0936389
11/26/2024,2,5.85775,5.6871389
2/9/2025,17.6,5.8213889,5.6553056
10/27/2024,2,6.0133056,5.8893333
6/21/2024,0.26,4.4909167,6.0866667
6/19/2024,0.62,4.544,5.95575
6/15/2024,2.9,7.66194,5.15806
6/14/2024,5,4.48125,6.1001111
6/13/2024,0.13,4.4796111,6.1015278
6/13/2024,0.31,4.4796111,6.1015278
6/3/2024,5,4.6802778,5.9618611
6/30/2024,1,5.0165639,6.6921759
5/27/2024,2,4.88638891,5.66556189
5/27/2024,2,4.88638891,5.66556189
5/26/2024,7,4.7802778,5.9791111
5/24/2024,14.95,5.1141111,6.5665
5/24/2024,5,4.77025,5.9796667
5/23/2024,1,4.7728889,5.9801111
5/22/2024,0.1258,4.7802778,5.9791389
5/20/2024,17,5.1037778,6.4760556
5/12/2024,31,5.1140667,6.5664972
5/3/2024,0.5,4.97504,6.66368
4/25/2024,0.27,4.9544339,6.8113578
4/22/2024,8,4.6806389,5.9619444
4/18/2024,1,4.7667778,5.9789722
4/18/2024,0.0629,4.9693886,6.7251333
